,RACE,AMOUNT_NEEDED_TO_MEET_HOUSEHOLD_FOOD_NEED,FOODSTAMPS_AMT_PERMONTH,HOUSEHOLD_PURCHASES_RESTAURANTS,HOUSEHOLD_PURCHASES_GROCERIES,FAMILY_INCOME,NUMBER_OWN_CHILDREN,YEAR
219,White Only,80.0,,,,,,2019
220,White Only,80.0,,,,,,2019
221,White Only,20.0,,,,,,2019
222,White Only,20.0,,,,,,2019
223,White Only,40.0,,,,,,2019
224,Black Only,30.0,,,,,,2019
225,Black Only,30.0,,,,,,2019
226,Black Only,50.0,,,,,,2019
227,Black Only,50.0,,,,,,2019
228,Black Only,50.0,,,,,,2019
229,Black Only,100.0,,,,,,2019
230,Black Only,100.0,,,,,,2019
231,Black Only,100.0,,,,,,2019
232,Black Only,40.0,,,,,,2019
233,Black Only,50.0,,,,,,2019
234,Black Only,50.0,,,,,,2019
235,Black Only,50.0,,,,,,2019
236,Black Only,50.0,,,,,,2019
237,Black Only,50.0,,,,,,2019
238,Black Only,50.0,,,,,,2019
239,Black Only,20.0,,,,,,2019
240,Black Only,20.0,,,,,,2019
241,White Only,10.0,,,,,,2019
242,White Only,10.0,,,,,,2019
243,Black Only,40.0,,,,,,2019
244,Black Only,40.0,,,,,,2019
245,Black Only,30.0,,,,,,2019
246,Black Only,30.0,,,,,,2019
247,Black Only,60.0,,,,,,2019
248,Black Only,60.0,,,,,,2019
249,Black Only,120.0,,,,,,2019
250,Black Only,120.0,,,,,,2019
251,Black Only,120.0,,,,,,2019
252,Black Only,120.0,,,,,,2019
253,Black Only,50.0,,,,,,2019
254,Black Only,50.0,,,,,,2019
255,Black Only,40.0,,,,,,2019
256,White Only,60.0,,,,,,2019
257,White Only,60.0,,,,,,2019
258,White Only,10.0,,,,,,2019
259,White Only,30.0,,,,,,2019
260,White Only,30.0,,,,,,2019
261,Black Only,30.0,,,,,,2019
262,White Only,100.0,,,,,,2019
263,White Only,100.0,,,,,,2019
264,White Only,100.0,,,,,,2019
265,White Only,100.0,,,,,,2019
266,Black Only,20.0,,,,,,2019
267,Black Only,100.0,,,,,,2019
268,Black Only,100.0,,,,,,2019
269,Black Only,70.0,,,,,,2019
270,White Only,20.0,,,,,,2019
271,White Only,80.0,,,,,,2019
272,Black Only,20.0,,,,,,2019
273,Black Only,20.0,,,,,,2019
274,Black Only,20.0,,,,,,2019
275,Black Only,40.0,,,,,,2019
276,Black Only,40.0,,,,,,2019
277,Black Only,200.0,,,,,,2019
278,Black Only,200.0,,,,,,2019
279,Black Only,200.0,,,,,,2019
280,Black Only,200.0,,,,,,2019
281,Black Only,200.0,,,,,,2019
282,Black Only,40.0,,,,,,2019
283,Black Only,40.0,,,,,,2019
284,Black Only,40.0,,,,,,2019
285,Black Only,40.0,,,,,,2019
286,Black Only,80.0,,,,,,2019
287,Black Only,80.0,,,,,,2019
288,Black Only,80.0,,,,,,2019
289,White Only,40.0,,,,,,2019
290,White Only,40.0,,,,,,2019
291,Black Only,200.0,,,,,,2019
292,Black Only,200.0,,,,,,2019
293,Black Only,200.0,,,,,,2019
294,Black Only,200.0,,,,,,2019
295,Black Only,40.0,,,,,,2019
296,Black Only,100.0,,,,,,2019
297,Black Only,100.0,,,,,,2019
298,Black Only,100.0,,,,,,2019
299,Black Only,70.0,,,,,,2019
300,Black Only,70.0,,,,,,2019
301,White Only,50.0,,,,,,2019
302,Black Only,30.0,,,,,,2019
303,Black Only,30.0,,,,,,2019
304,Asian Only,0.0,,,,,,2019
0,Black Only,,190.0,,,,,2019
1,Black Only,,190.0,,,,,2019
2,Black Only,,190.0,,,,,2019
3,White Only,,50.0,,,,,2019
4,Black Only,,10.0,,,,,2019
5,Black Only,,40.0,,,,,2019
6,White Only,,110.0,,,,,2019
7,White Only,,110.0,,,,,2019
8,Black Only,,180.0,,,,,2019
9,Black Only,,180.0,,,,,2019
10,White Only,,250.0,,,,,2019
11,White Only,,250.0,,,,,2019
12,White Only,,250.0,,,,,2019
13,Black Only,,280.0,,,,,2019
14,Black Only,,280.0,,,,,2019
15,Black Only,,280.0,,,,,2019
16,Black Only,,620.0,,,,,2019
17,Black Only,,620.0,,,,,2019
18,Black Only,,620.0,,,,,2019
19,Black Only,,620.0,,,,,2019
20,Black Only,,620.0,,,,,2019
21,White Only,,60.0,,,,,2019
22,Black Only,,20.0,,,,,2019
23,White Only,,140.0,,,,,2019
24,White Only,,140.0,,,,,2019
25,White Only,,140.0,,,,,2019
26,White Only,,140.0,,,,,2019
27,Black Only,,640.0,,,,,2019
28,Black Only,,640.0,,,,,2019
29,Black Only,,640.0,,,,,2019
30,Black Only,,640.0,,,,,2019
31,Black Only,,400.0,,,,,2019
32,Black Only,,400.0,,,,,2019
33,Black Only,,400.0,,,,,2019
34,Black Only,,400.0,,,,,2019
35,Black Only,,400.0,,,,,2019
36,Black Only,,400.0,,,,,2019
37,White Only,,300.0,,,,,2019
38,White Only,,300.0,,,,,2019
39,White Only,,300.0,,,,,2019
40,White Only,,300.0,,,,,2019
41,White Only,,300.0,,,,,2019
42,Black Only,,20.0,,,,,2019
43,Black Only,,20.0,,,,,2019
44,Black Only,,20.0,,,,,2019
45,Black Only,,210.0,,,,,2019
46,Black Only,,210.0,,,,,2019
47,White Only,,20.0,,,,,2019
48,White Only,,330.0,,,,,2019
49,White Only,,330.0,,,,,2019
50,White Only,,330.0,,,,,2019
51,Black Only,,20.0,,,,,2019
52,Black Only,,400.0,,,,,2019
53,Black Only,,400.0,,,,,2019
54,Black Only,,400.0,,,,,2019
55,Black Only,,400.0,,,,,2019
56,Black Only,,20.0,,,,,2019
57,Black Only,,90.0,,,,,2019
58,Black Only,,90.0,,,,,2019
59,Black Only,,110.0,,,,,2019
60,Black Only,,110.0,,,,,2019
61,Black Only,,110.0,,,,,2019
62,Black Only,,110.0,,,,,2019
63,Black Only,,90.0,,,,,2019
64,Black Only,,90.0,,,,,2019
65,Black Only,,90.0,,,,,2019
66,White Only,,80.0,,,,,2019
67,Mixed race,,80.0,,,,,2019
68,Mixed race,,80.0,,,,,2019
69,White Only,,70.0,,,,,2019
70,Black Only,,10.0,,,,,2019
71,Black Only,,10.0,,,,,2019
72,White Only,,560.0,,,,,2019
73,White Only,,560.0,,,,,2019
74,White Only,,560.0,,,,,2019
75,White Only,,560.0,,,,,2019
76,White Only,,560.0,,,,,2019
77,Black Only,,10.0,,,,,2019
78,White Only,,550.0,,,,,2019
79,White Only,,550.0,,,,,2019
80,White Only,,550.0,,,,,2019
81,White Only,,550.0,,,,,2019
82,White Only,,90.0,,,,,2019
83,White Only,,90.0,,,,,2019
84,White Only,,190.0,,,,,2019
85,Black Only,,100.0,,,,,2019
86,Black Only,,100.0,,,,,2019
87,Black Only,,100.0,,,,,2019
88,Black Only,,100.0,,,,,2019
89,White Only,,110.0,,,,,2019
90,Black Only,,20.0,,,,,2019
91,Black Only,,20.0,,,,,2019
92,Black Only,,20.0,,,,,2019
93,Black Only,,200.0,,,,,2019
94,Black Only,,200.0,,,,,2019
95,Black Only,,200.0,,,,,2019
96,White Only,,200.0,,,,,2019
97,White Only,,200.0,,,,,2019
98,Black Only,,380.0,,,,,2019
99,Black Only,,380.0,,,,,2019
100,Black Only,,380.0,,,,,2019
101,Black Only,,60.0,,,,,2019
102,Black Only,,100.0,,,,,2019
103,Black Only,,100.0,,,,,2019
104,Black Only,,100.0,,,,,2019
105,Black Only,,140.0,,,,,2019
106,Black Only,,140.0,,,,,2019
107,Black Only,,140.0,,,,,2019
108,Black Only,,20.0,,,,,2019
109,Black Only,,20.0,,,,,2019
110,Black Only,,20.0,,,,,2019
111,White Only,,50.0,,,,,2019
112,White Only,,50.0,,,,,2019
113,White Only,,50.0,,,,,2019
114,White Only,,300.0,,,,,2019
115,White Only,,300.0,,,,,2019
116,White Only,,300.0,,,,,2019
117,White Only,,20.0,,,,,2019
118,Black Only,,80.0,,,,,2019
119,Black Only,,80.0,,,,,2019
120,Black Only,,80.0,,,,,2019
121,Black Only,,80.0,,,,,2019
122,Black Only,,80.0,,,,,2019
123,Black Only,,70.0,,,,,2019
124,Black Only,,70.0,,,,,2019
125,Black Only,,220.0,,,,,2019
126,Black Only,,220.0,,,,,2019
127,Black Only,,220.0,,,,,2019
128,Black Only,,220.0,,,,,2019
129,White Only,,600.0,,,,,2019
130,White Only,,600.0,,,,,2019
131,White Only,,600.0,,,,,2019
132,White Only,,600.0,,,,,2019
133,White Only,,600.0,,,,,2019
134,White Only,,600.0,,,,,2019
135,Black Only,,20.0,,,,,2019
136,Black Only,,240.0,,,,,2019
137,Black Only,,240.0,,,,,2019
138,Black Only,,150.0,,,,,2019
139,Black Only,,150.0,,,,,2019
140,Black Only,,150.0,,,,,2019
141,Black Only,,500.0,,,,,2019
142,Black Only,,500.0,,,,,2019
143,Black Only,,500.0,,,,,2019
144,Black Only,,500.0,,,,,2019
145,Black Only,,430.0,,,,,2019
146,Black Only,,430.0,,,,,2019
147,Black Only,,430.0,,,,,2019
148,White Only,,640.0,,,,,2019
149,White Only,,640.0,,,,,2019
150,White Only,,640.0,,,,,2019
151,White Only,,640.0,,,,,2019
152,Black Only,,360.0,,,,,2019
153,Black Only,,360.0,,,,,2019
154,Black Only,,360.0,,,,,2019
155,Black Only,,20.0,,,,,2019
156,Black Only,,60.0,,,,,2019
157,Black Only,,60.0,,,,,2019
158,Black Only,,60.0,,,,,2019
159,Black Only,,60.0,,,,,2019
160,White Only,,20.0,,,,,2019
161,White Only,,20.0,,,,,2019
162,Black Only,,60.0,,,,,2019
163,Black Only,,300.0,,,,,2019
164,Black Only,,300.0,,,,,2019
165,Black Only,,300.0,,,,,2019
166,Black Only,,300.0,,,,,2019
167,Black Only,,300.0,,,,,2019
168,Black Only,,300.0,,,,,2019
169,Black Only,,300.0,,,,,2019
170,White Only,,648.0,,,,,2019
171,White Only,,648.0,,,,,2019
172,White Only,,648.0,,,,,2019
173,White Only,,648.0,,,,,2019
174,White Only,,648.0,,,,,2019
175,Black Only,,648.0,,,,,2019
176,Black Only,,648.0,,,,,2019
177,Black Only,,350.0,,,,,2019
178,Black Only,,180.0,,,,,2019
179,Black Only,,180.0,,,,,2019
180,Black Only,,90.0,,,,,2019
181,Black Only,,40.0,,,,,2019
182,Black Only,,70.0,,,,,2019
183,White Only,,648.0,,,,,2019
184,White Only,,648.0,,,,,2019
185,White Only,,648.0,,,,,2019
186,White Only,,648.0,,,,,2019
187,White Only,,648.0,,,,,2019
188,White Only,,648.0,,,,,2019
189,Black Only,,400.0,,,,,2019
190,Black Only,,400.0,,,,,2019
191,Black Only,,400.0,,,,,2019
192,Black Only,,400.0,,,,,2019
193,Black Only,,400.0,,,,,2019
194,Black Only,,540.0,,,,,2019
195,Black Only,,540.0,,,,,2019
196,Black Only,,540.0,,,,,2019
197,Black Only,,540.0,,,,,2019
198,Black Only,,540.0,,,,,2019
199,Black Only,,648.0,,,,,2019
200,Black Only,,648.0,,,,,2019
201,Black Only,,648.0,,,,,2019
202,Black Only,,500.0,,,,,2019
203,Black Only,,500.0,,,,,2019
204,Black Only,,500.0,,,,,2019
205,Black Only,,500.0,,,,,2019
206,Black Only,,500.0,,,,,2019
207,Black Only,,500.0,,,,,2019
208,Black Only,,500.0,,,,,2019
209,Black Only,,170.0,,,,,2019
210,Black Only,,70.0,,,,,2019
211,Black Only,,70.0,,,,,2019
212,Black Only,,20.0,,,,,2019
213,Black Only,,20.0,,,,,2019
214,Black Only,,280.0,,,,,2019
215,Black Only,,280.0,,,,,2019
216,Black Only,,280.0,,,,,2019
217,Black Only,,280.0,,,,,2019
218,Black Only,,20.0,,,,,2019
219,Black Only,,20.0,,,,,2019
220,Black Only,,110.0,,,,,2019
221,Black Only,,110.0,,,,,2019
222,Black Only,,110.0,,,,,2019
223,Black Only,,110.0,,,,,2019
224,Black Only,,30.0,,,,,2019
225,Black Only,,70.0,,,,,2019
226,Black Only,,320.0,,,,,2019
227,Black Only,,320.0,,,,,2019
228,Black Only,,320.0,,,,,2019
229,Black Only,,350.0,,,,,2019
230,Black Only,,350.0,,,,,2019
231,Asian Only,,0.0,,,,,2019
4,White Only,,,30.0,,,,2019
11,Black Only,,,100.0,,,,2019
12,Black Only,,,100.0,,,,2019
13,Black Only,,,100.0,,,,2019
14,Black Only,,,100.0,,,,2019
15,Black Only,,,100.0,,,,2019
16,Black Only,,,100.0,,,,2019
17,White Only,,,10.0,,,,2019
18,White Only,,,20.0,,,,2019
19,White Only,,,20.0,,,,2019
20,White Only,,,20.0,,,,2019
21,White Only,,,20.0,,,,2019
22,White Only,,,20.0,,,,2019
26,White Only,,,30.0,,,,2019
27,White Only,,,30.0,,,,2019
28,White Only,,,100.0,,,,2019
29,White Only,,,100.0,,,,2019
30,White Only,,,100.0,,,,2019
35,White Only,,,100.0,,,,2019
36,White Only,,,100.0,,,,2019
37,White Only,,,100.0,,,,2019
