,RACE,AMOUNT_NEEDED_TO_MEET_HOUSEHOLD_FOOD_NEED,FOODSTAMPS_AMT_PERMONTH,HOUSEHOLD_PURCHASES_RESTAURANTS,HOUSEHOLD_PURCHASES_GROCERIES,FAMILY_INCOME
272,Black Only,20.0,,,,
273,Black Only,20.0,,,,
274,Black Only,20.0,,,,
275,Black Only,40.0,,,,
276,Black Only,40.0,,,,
277,Black Only,200.0,,,,
278,Black Only,200.0,,,,
279,Black Only,200.0,,,,
280,Black Only,200.0,,,,
281,Black Only,200.0,,,,
282,Black Only,40.0,,,,
283,Black Only,40.0,,,,
284,Black Only,40.0,,,,
285,Black Only,40.0,,,,
286,Black Only,80.0,,,,
287,Black Only,80.0,,,,
288,Black Only,80.0,,,,
289,White Only,40.0,,,,
290,White Only,40.0,,,,
291,Black Only,200.0,,,,
292,Black Only,200.0,,,,
293,Black Only,200.0,,,,
294,Black Only,200.0,,,,
295,Black Only,40.0,,,,
296,Black Only,100.0,,,,
297,Black Only,100.0,,,,
298,Black Only,100.0,,,,
299,Black Only,70.0,,,,
300,Black Only,70.0,,,,
301,White Only,50.0,,,,
302,Black Only,30.0,,,,
303,Black Only,30.0,,,,
304,Asian Only,0.0,,,,
0,Black Only,,190.0,,,
1,Black Only,,190.0,,,
2,Black Only,,190.0,,,
3,White Only,,50.0,,,
4,Black Only,,10.0,,,
5,Black Only,,40.0,,,
6,White Only,,110.0,,,
7,White Only,,110.0,,,
8,Black Only,,180.0,,,
9,Black Only,,180.0,,,
10,White Only,,250.0,,,
11,White Only,,250.0,,,
12,White Only,,250.0,,,
13,Black Only,,280.0,,,
14,Black Only,,280.0,,,
15,Black Only,,280.0,,,
16,Black Only,,620.0,,,
17,Black Only,,620.0,,,
18,Black Only,,620.0,,,
19,Black Only,,620.0,,,
20,Black Only,,620.0,,,
21,White Only,,60.0,,,
22,Black Only,,20.0,,,
23,White Only,,140.0,,,
24,White Only,,140.0,,,
25,White Only,,140.0,,,
26,White Only,,140.0,,,
27,Black Only,,640.0,,,
28,Black Only,,640.0,,,
29,Black Only,,640.0,,,
30,Black Only,,640.0,,,
31,Black Only,,400.0,,,
32,Black Only,,400.0,,,
33,Black Only,,400.0,,,
34,Black Only,,400.0,,,
35,Black Only,,400.0,,,
36,Black Only,,400.0,,,
37,White Only,,300.0,,,
38,White Only,,300.0,,,
39,White Only,,300.0,,,
40,White Only,,300.0,,,
41,White Only,,300.0,,,
42,Black Only,,20.0,,,
43,Black Only,,20.0,,,
44,Black Only,,20.0,,,
45,Black Only,,210.0,,,
46,Black Only,,210.0,,,
47,White Only,,20.0,,,
48,White Only,,330.0,,,
49,White Only,,330.0,,,
50,White Only,,330.0,,,
51,Black Only,,20.0,,,
52,Black Only,,400.0,,,
53,Black Only,,400.0,,,
54,Black Only,,400.0,,,
55,Black Only,,400.0,,,
56,Black Only,,20.0,,,
57,Black Only,,90.0,,,
58,Black Only,,90.0,,,
59,Black Only,,110.0,,,
60,Black Only,,110.0,,,
61,Black Only,,110.0,,,
62,Black Only,,110.0,,,
63,Black Only,,90.0,,,
64,Black Only,,90.0,,,
65,Black Only,,90.0,,,
66,White Only,,80.0,,,
67,White-Black,,80.0,,,
68,White-Black,,80.0,,,
69,White Only,,70.0,,,
70,Black Only,,10.0,,,
71,Black Only,,10.0,,,
72,White Only,,560.0,,,
73,White Only,,560.0,,,
74,White Only,,560.0,,,
75,White Only,,560.0,,,
76,White Only,,560.0,,,
77,Black Only,,10.0,,,
78,White Only,,550.0,,,
79,White Only,,550.0,,,
80,White Only,,550.0,,,
81,White Only,,550.0,,,
82,White Only,,90.0,,,
83,White Only,,90.0,,,
84,White Only,,190.0,,,
85,Black Only,,100.0,,,
86,Black Only,,100.0,,,
87,Black Only,,100.0,,,
88,Black Only,,100.0,,,
89,White Only,,110.0,,,
90,Black Only,,20.0,,,
91,Black Only,,20.0,,,
92,Black Only,,20.0,,,
93,Black Only,,200.0,,,
94,Black Only,,200.0,,,
95,Black Only,,200.0,,,
96,White Only,,200.0,,,
97,White Only,,200.0,,,
98,Black Only,,380.0,,,
99,Black Only,,380.0,,,
100,Black Only,,380.0,,,
101,Black Only,,60.0,,,
102,Black Only,,100.0,,,
103,Black Only,,100.0,,,
104,Black Only,,100.0,,,
105,Black Only,,140.0,,,
106,Black Only,,140.0,,,
107,Black Only,,140.0,,,
108,Black Only,,20.0,,,
109,Black Only,,20.0,,,
110,Black Only,,20.0,,,
111,White Only,,50.0,,,
112,White Only,,50.0,,,
113,White Only,,50.0,,,
114,White Only,,300.0,,,
115,White Only,,300.0,,,
116,White Only,,300.0,,,
117,White Only,,20.0,,,
118,Black Only,,80.0,,,
119,Black Only,,80.0,,,
120,Black Only,,80.0,,,
121,Black Only,,80.0,,,
122,Black Only,,80.0,,,
123,Black Only,,70.0,,,
124,Black Only,,70.0,,,
125,Black Only,,220.0,,,
126,Black Only,,220.0,,,
127,Black Only,,220.0,,,
128,Black Only,,220.0,,,
129,White Only,,600.0,,,
130,White Only,,600.0,,,
131,White Only,,600.0,,,
132,White Only,,600.0,,,
133,White Only,,600.0,,,
134,White Only,,600.0,,,
135,Black Only,,20.0,,,
136,Black Only,,240.0,,,
137,Black Only,,240.0,,,
138,Black Only,,150.0,,,
139,Black Only,,150.0,,,
140,Black Only,,150.0,,,
141,Black Only,,500.0,,,
142,Black Only,,500.0,,,
143,Black Only,,500.0,,,
144,Black Only,,500.0,,,
145,Black Only,,430.0,,,
146,Black Only,,430.0,,,
147,Black Only,,430.0,,,
148,White Only,,640.0,,,
149,White Only,,640.0,,,
150,White Only,,640.0,,,
151,White Only,,640.0,,,
152,Black Only,,360.0,,,
153,Black Only,,360.0,,,
154,Black Only,,360.0,,,
155,Black Only,,20.0,,,
156,Black Only,,60.0,,,
157,Black Only,,60.0,,,
158,Black Only,,60.0,,,
159,Black Only,,60.0,,,
160,White Only,,20.0,,,
161,White Only,,20.0,,,
162,Black Only,,60.0,,,
163,Black Only,,300.0,,,
164,Black Only,,300.0,,,
165,Black Only,,300.0,,,
166,Black Only,,300.0,,,
167,Black Only,,300.0,,,
168,Black Only,,300.0,,,
169,Black Only,,300.0,,,
170,White Only,,648.0,,,
171,White Only,,648.0,,,
172,White Only,,648.0,,,
173,White Only,,648.0,,,
174,White Only,,648.0,,,
175,Black Only,,648.0,,,
176,Black Only,,648.0,,,
177,Black Only,,350.0,,,
178,Black Only,,180.0,,,
179,Black Only,,180.0,,,
180,Black Only,,90.0,,,
181,Black Only,,40.0,,,
182,Black Only,,70.0,,,
183,White Only,,648.0,,,
184,White Only,,648.0,,,
185,White Only,,648.0,,,
186,White Only,,648.0,,,
187,White Only,,648.0,,,
188,White Only,,648.0,,,
189,Black Only,,400.0,,,
190,Black Only,,400.0,,,
191,Black Only,,400.0,,,
192,Black Only,,400.0,,,
193,Black Only,,400.0,,,
194,Black Only,,540.0,,,
195,Black Only,,540.0,,,
196,Black Only,,540.0,,,
197,Black Only,,540.0,,,
198,Black Only,,540.0,,,
199,Black Only,,648.0,,,
200,Black Only,,648.0,,,
201,Black Only,,648.0,,,
202,Black Only,,500.0,,,
203,Black Only,,500.0,,,
204,Black Only,,500.0,,,
205,Black Only,,500.0,,,
206,Black Only,,500.0,,,
207,Black Only,,500.0,,,
208,Black Only,,500.0,,,
209,Black Only,,170.0,,,
210,Black Only,,70.0,,,
211,Black Only,,70.0,,,
212,Black Only,,20.0,,,
213,Black Only,,20.0,,,
214,Black Only,,280.0,,,
215,Black Only,,280.0,,,
216,Black Only,,280.0,,,
217,Black Only,,280.0,,,
218,Black Only,,20.0,,,
219,Black Only,,20.0,,,
220,Black Only,,110.0,,,
221,Black Only,,110.0,,,
222,Black Only,,110.0,,,
223,Black Only,,110.0,,,
224,Black Only,,30.0,,,
225,Black Only,,70.0,,,
226,Black Only,,320.0,,,
227,Black Only,,320.0,,,
228,Black Only,,320.0,,,
229,Black Only,,350.0,,,
230,Black Only,,350.0,,,
231,Asian Only,,0.0,,,
4,White Only,,,30.0,,
11,Black Only,,,100.0,,
12,Black Only,,,100.0,,
13,Black Only,,,100.0,,
14,Black Only,,,100.0,,
15,Black Only,,,100.0,,
16,Black Only,,,100.0,,
17,White Only,,,10.0,,
18,White Only,,,20.0,,
19,White Only,,,20.0,,
20,White Only,,,20.0,,
21,White Only,,,20.0,,
22,White Only,,,20.0,,
26,White Only,,,30.0,,
27,White Only,,,30.0,,
28,White Only,,,100.0,,
29,White Only,,,100.0,,
30,White Only,,,100.0,,
35,White Only,,,100.0,,
36,White Only,,,100.0,,
37,White Only,,,100.0,,
38,White Only,,,100.0,,
39,White Only,,,20.0,,
41,Black Only,,,4.0,,
42,Black Only,,,4.0,,
43,White Only,,,50.0,,
44,White Only,,,50.0,,
45,White Only,,,50.0,,
46,White Only,,,50.0,,
47,White Only,,,50.0,,
48,White Only,,,50.0,,
49,White Only,,,60.0,,
50,White Only,,,60.0,,
51,White Only,,,60.0,,
52,White Only,,,60.0,,
53,White Only,,,30.0,,
54,White Only,,,30.0,,
55,White Only,,,30.0,,
56,White Only,,,30.0,,
57,White Only,,,250.0,,
58,White Only,,,250.0,,
59,White Only,,,250.0,,
60,White Only,,,250.0,,
61,White Only,,,250.0,,
65,Black Only,,,4.0,,
68,Black Only,,,4.0,,
69,Black Only,,,4.0,,
71,Black Only,,,140.0,,
72,Black Only,,,140.0,,
78,White Only,,,30.0,,
79,White Only,,,20.0,,
81,White Only,,,40.0,,
82,White Only,,,40.0,,
84,Black Only,,,10.0,,
86,Black Only,,,130.0,,
87,Black Only,,,130.0,,
88,Black Only,,,130.0,,
89,Black Only,,,130.0,,
90,White Only,,,10.0,,
92,Black Only,,,20.0,,
93,White Only,,,30.0,,
94,White Only,,,30.0,,
95,White Only,,,30.0,,
96,White Only,,,40.0,,
97,White Only,,,40.0,,
98,White Only,,,20.0,,
99,White Only,,,30.0,,
100,White Only,,,30.0,,
101,White Only,,,30.0,,
102,White Only,,,30.0,,
109,White Only,,,20.0,,
113,Black Only,,,20.0,,
114,Black Only,,,20.0,,
122,Black Only,,,50.0,,
129,Black Only,,,4.0,,
130,Black Only,,,4.0,,
134,White Only,,,200.0,,
135,White Only,,,200.0,,
146,Black Only,,,30.0,,
147,Black Only,,,30.0,,
148,Black Only,,,30.0,,
149,Black Only,,,30.0,,
152,Black Only,,,20.0,,
166,White Only,,,20.0,,
167,White Only,,,20.0,,
172,White Only,,,80.0,,
173,White Only,,,80.0,,
174,White Only,,,20.0,,
175,White Only,,,20.0,,
176,White Only,,,20.0,,
177,White Only,,,20.0,,
178,White Only,,,20.0,,
188,White Only,,,100.0,,
189,White Only,,,100.0,,
190,White Only,,,100.0,,
191,Black Only,,,4.0,,
198,White Only,,,20.0,,
204,Black Only,,,60.0,,
206,Black Only,,,50.0,,
207,Black Only,,,50.0,,
208,Black Only,,,50.0,,
213,White Only,,,250.0,,
214,Black Only,,,4.0,,
215,Black Only,,,4.0,,
216,Black Only,,,4.0,,
217,Black Only,,,4.0,,
218,Black Only,,,4.0,,
221,White Only,,,40.0,,
222,White Only,,,40.0,,
223,White Only,,,40.0,,
224,Black Only,,,30.0,,
225,Black Only,,,30.0,,
226,Black Only,,,30.0,,
233,Black Only,,,40.0,,
234,Black Only,,,40.0,,
235,Black Only,,,40.0,,
236,Black Only,,,40.0,,
239,White Only,,,100.0,,
240,Asian Only,,,100.0,,
245,Black Only,,,30.0,,
246,Black Only,,,30.0,,
247,Black Only,,,30.0,,
248,Black Only,,,30.0,,
249,Black Only,,,30.0,,
257,White Only,,,30.0,,
258,White Only,,,30.0,,
259,White Only,,,30.0,,
260,White Only,,,60.0,,
261,White Only,,,60.0,,
262,Black Only,,,200.0,,
263,Black Only,,,200.0,,
264,Black Only,,,200.0,,
265,Black Only,,,200.0,,
266,White Only,,,10.0,,
281,White Only,,,30.0,,
282,White Only,,,30.0,,
283,White Only,,,30.0,,
284,White Only,,,30.0,,
286,White Only,,,10.0,,
289,White Only,,,40.0,,
290,White Only,,,40.0,,
291,White Only,,,40.0,,
292,White Only,,,40.0,,
302,Black Only,,,10.0,,
303,Black Only,,,20.0,,
304,Black Only,,,20.0,,
313,Black Only,,,4.0,,
314,Black Only,,,4.0,,
315,Black Only,,,4.0,,
316,Black Only,,,4.0,,
319,White Only,,,20.0,,
320,White Only,,,20.0,,
321,White Only,,,20.0,,
329,Black Only,,,30.0,,
330,Black Only,,,30.0,,
332,White Only,,,30.0,,
333,White Only,,,30.0,,
339,White Only,,,50.0,,
340,White Only,,,50.0,,
341,White Only,,,50.0,,
352,White Only,,,100.0,,
353,White Only,,,100.0,,
354,White Only,,,100.0,,
355,White Only,,,100.0,,
364,Black Only,,,20.0,,
368,White Only,,,40.0,,
369,White Only,,,40.0,,
370,White Only,,,40.0,,
371,White Only,,,40.0,,
374,Black Only,,,30.0,,
375,Black Only,,,30.0,,
376,Black Only,,,30.0,,
377,Black Only,,,30.0,,
409,Black Only,,,20.0,,
410,Black Only,,,30.0,,
411,Black Only,,,30.0,,
415,White Only,,,40.0,,
416,White Only,,,40.0,,
417,Black Only,,,20.0,,
419,Black Only,,,50.0,,
425,White Only,,,30.0,,
427,White Only,,,40.0,,
429,Black Only,,,30.0,,
430,Black Only,,,30.0,,
431,Black Only,,,30.0,,
432,Black Only,,,100.0,,
433,Black Only,,,100.0,,
434,White Only,,,100.0,,
435,White Only,,,100.0,,
436,Black Only,,,40.0,,
437,Black Only,,,40.0,,
440,White Only,,,30.0,,
441,White Only,,,30.0,,
442,Black Only,,,30.0,,
443,Black Only,,,30.0,,
454,White Only,,,50.0,,
455,White Only,,,50.0,,
461,White Only,,,40.0,,
464,White Only,,,10.0,,
477,White Only,,,60.0,,
478,White Only,,,60.0,,
479,White Only,,,60.0,,
480,White Only,,,60.0,,
481,White Only,,,60.0,,
482,White Only,,,60.0,,
483,White Only,,,60.0,,
484,White Only,,,60.0,,
500,Black Only,,,30.0,,
501,Black Only,,,30.0,,
502,White Only,,,30.0,,
503,White Only,,,30.0,,
505,White Only,,,4.0,,
508,White Only,,,200.0,,
509,White Only,,,290.0,,
518,White Only,,,100.0,,
519,White Only,,,100.0,,
531,White Only,,,10.0,,
532,White Only,,,40.0,,
533,White Only,,,40.0,,
534,White Only,,,20.0,,
535,White Only,,,20.0,,
536,White Only,,,20.0,,
538,White Only,,,20.0,,
539,White Only,,,20.0,,
540,Black Only,,,40.0,,
541,Black Only,,,40.0,,
563,White Only,,,20.0,,
564,White Only,,,20.0,,
574,White Only,,,20.0,,
575,White Only,,,20.0,,
576,White Only,,,20.0,,
592,Black Only,,,30.0,,
595,Black Only,,,40.0,,
596,Black Only,,,40.0,,
597,Black Only,,,40.0,,
598,Black Only,,,40.0,,
600,Black Only,,,30.0,,
602,Black Only,,,60.0,,
603,Black Only,,,60.0,,
604,Black Only,,,120.0,,
605,Black Only,,,120.0,,
606,Black Only,,,120.0,,
607,Black Only,,,120.0,,
610,White Only,,,20.0,,
615,Black Only,,,20.0,,
616,Black Only,,,20.0,,
617,Black Only,,,20.0,,
623,Black Only,,,30.0,,
624,Black Only,,,30.0,,
625,Black Only,,,30.0,,
645,Black Only,,,60.0,,
646,Black Only,,,60.0,,
647,Black Only,,,60.0,,
648,Black Only,,,60.0,,
654,White Only,,,150.0,,
657,White Only,,,80.0,,
658,White Only,,,80.0,,
662,White Only,,,30.0,,
663,Black Only,,,20.0,,
664,Asian Only,,,20.0,,
668,White Only,,,80.0,,
685,White Only,,,80.0,,
686,White Only,,,80.0,,
687,White Only,,,80.0,,
688,White Only,,,80.0,,
689,White Only,,,50.0,,
690,White Only,,,50.0,,
691,White Only,,,50.0,,
699,Black Only,,,20.0,,
700,Black Only,,,20.0,,
701,Black Only,,,20.0,,
702,Black Only,,,20.0,,
703,Black Only,,,20.0,,
714,White Only,,,60.0,,
715,White Only,,,60.0,,
716,White Only,,,60.0,,
