Metropolitan Statistical Area,Rank,Percent,Margin of Error,Percent,Margin of Error,Percent,Margin of Error,Ratio
"Lakeland-Winter Haven, FL",16,0.19082972407341,0.0372243374586105,0.255916774272919,0.102311387658119,0.155387952923775,0.00178256630897522,1.64695382118225
"Lancaster, PA",108,0.0768893733620644,0.0363461747765541,0.11477929353714,0.0742360949516296,0.0511224120855331,0.0105792135000229,2.24518537521362
"Las Vegas-Henderson-Paradise, NV",27,0.172037646174431,0.02216836810112,0.229779705405235,0.0799104273319244,0.140816748142242,-0.00905252993106842,1.6317640542984
"Little Rock-North Little Rock-Conway, AR",18,0.184217557311058,0.0320045948028564,0.199221029877663,0.0470080673694611,0.177146315574646,0.0249333530664444,1.12461292743683
"Los Angeles-Long Beach-Anaheim, CA",62,0.14394123852253,0.00928053259849548,0.160374656319618,0.0257139503955841,0.133299753069878,-0.00136095285415649,1.20311295986176
"Louisville/Jefferson County, KY-IN",47,0.155913576483727,0.0238004475831985,0.193838879466057,0.0617257505655289,0.13600480556488,0.00389167666435242,1.42523550987244
"Madison, WI",107,0.0810748860239983,0.0242404974997044,0.119001172482967,0.0621667839586735,0.0636599063873291,0.0068255178630352,1.86932682991028
"Memphis, TN-MS-AR",6,0.206795483827591,0.0291973650455475,0.227331340312958,0.0497332215309143,0.19545941054821,0.0178612917661667,1.16306161880493
"Miami-Fort Lauderdale-West Palm Beach, FL",23,0.176956757903099,0.0138420909643173,0.212756559252739,0.0496418923139572,0.156284466385841,-0.00683020055294037,1.36134171485901
"Milwaukee-Waukesha-West Allis, WI",92,0.119489051401615,0.0203929170966148,0.127269014716148,0.0281728804111481,0.115887053310871,0.0167909190058708,1.09821593761444
"Minneapolis-St. Paul-Bloomington, MN-WI",102,0.101052775979042,0.0124459639191628,0.112089343369007,0.0234825313091278,0.0928506702184677,0.00424385815858841,1.20720016956329
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",63,0.143638268113136,0.0380430966615677,0.193452462553978,0.0878572911024094,0.122244484722614,0.0166493132710457,1.58250463008881
"Nashville-Davidson--Murfreesboro--Franklin, TN",61,0.14407779276371,0.0186347663402557,0.169084489345551,0.0436414629220963,0.130863726139069,0.00542069971561432,1.29206538200378
"New Haven-Milford, CT",77,0.134888365864754,0.0271947458386421,0.143582731485367,0.0358891114592552,0.131049409508705,0.0233557894825935,1.09563815593719
